time,open,high,low,close,MA,Smoothing Line,VWAP,VWAPUB,VWAPLB,ROC50,ROC100,ROC200,ROC400,BOLLINGERMID,BOLLINGERUpper,BOLLINGERLower
1608955200,24930.4,24950,24657,24793.28,21418.4092,21287.07886,20908.01115,23113.07481,18702.94748,8.661484271,35.15006814,34.48880403,107.9835313,23747.544,24969.33817,22525.74983
1608969600,24793.27,25029.69,24552,24843.8,21484.3672,21352.51446,20925.46852,23140.94388,18709.99316,8.805741822,36.145331,35.09106105,108.6790136,23804.2345,25115.72187,22492.74713
1608984000,24843.81,25690,24743.47,25638.48,21555.3722,21419.808,20965.16203,23209.86914,18720.45492,11.07559524,38.30244719,38.73388625,115.4488686,23907.308,25437.03597,22377.58003
1608998400,25636.71,26053.61,25582.15,25944.43,21630.7134,21488.55768,21010.39866,23293.27554,18727.52178,13.24500218,40.92337391,39.43985278,113.1367235,24050.5295,25768.40714,22332.65186
1609012800,25946.99,26926,25824.09,26508.83,21712.454,21560.2632,21075.67769,23420.34878,18731.0066,17.48394219,44.58228819,44.98914858,117.4045297,24202.417,26202.49706,22202.33694
1609027200,26508.84,26999.65,26454.6,26590.96,21796.4636,21635.87408,21122.02448,23511.52405,18732.52491,16.76626644,46.18449698,43.99691547,115.66084,24353.665,26582.75419,22124.57581
1609041600,26590.96,27815,26590.96,27655.27,21891.7035,21717.34134,21180.84757,23634.19657,18727.49857,19.59371831,52.52795169,50.44698448,117.2480972,24574.515,27163.92375,21985.10625
1609056000,27655.4,28459.84,27034.23,27679.15,21984.5204,21803.17098,21281.02564,23844.6677,18717.38358,19.70894437,50.45093181,50.76389203,118.2898265,24813.5785,27613.929,22013.228
1609070400,27679.48,27800,26592,27399.38,22075.9791,21892.22412,21354.75218,23986.65698,18722.84739,19.77289845,50.10471959,49.05557015,114.1233988,25024.604,27934.35578,22114.85222
1609084800,27399.5,27528.56,26573,27117.16,22167.2751,21983.18834,21402.92147,24075.31555,18730.52739,18.3742441,50.7550774,42.05133766,113.1059755,25218.6795,28143.00524,22294.35376
1609099200,27117.66,27129,25850,26305.64,22252.2314,22074.3419,21447.50938,24149.43522,18745.58354,11.61009503,47.70143307,35.81177117,106.2883277,25371.697,28185.14098,22558.25302
1609113600,26301.76,27390,26117.1,27287.11,22348.6385,22165.7289,21481.40307,24209.03996,18753.76617,14.53122429,54.63272962,42.24453221,110.3788917,25570.989,28333.78208,22808.19592
